"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>"
"africa_headquarters";"Headquarters";"Штаб";"Hauptquartier"
"headquarters_br";"Headquarters: Unstable Zone";"Штаб: Нестабильная зона";"Headquarters: Unstable Zone"
"africa_headquarters_br";"Headquarters: Unstable Zone";"Штаб: Нестабильная зона";"Headquarters: Unstable Zone"
"america_abandoned";"America: Infestation";"Америка: Нашествие";"Amerika: Befall"
"abandoned";"America: Infestation";"Америка: Нашествие";"Amerika: Befall"
"abandoned_collapse";"America: Collapse";"Америка: Коллапс";"America: Collapse"
"nexus_marble";"Marble Quarry";"Карьер";"Marmorbruch"
"nexus_mir";"Mir Factory";"Фабрика 'Мир'";"Mir-Fabrik"
"nexus_mir_rush";"Mir Factory: Clash";"Фабрика 'Мир': Схватка";"Mir-Fabrik: Gefecht"
"nexus_mir_clash";"Mir Factory: Clash";"Фабрика 'Мир': Схватка";"Mir-Fabrik: Gefecht"
"nexus_mir_assault";"Mir Factory: Assault";"Фабрика 'Мир': Штурм";"Mir-Fabrik: Angriff"
"nexus_mir_domination";"Mir Factory: Domination";"Фабрика 'Мир': Превосходство";"Mir-Fabrik: Vorherrschaft"
"nexus_itzal_kutan";"Itzal Kutan";"Ицаль Кутан";"Itzal Kutan"
"nexus_itzal_kutan_rush";"Itzal Kutan: Clash";"Ицаль Кутан: Схватка";"Itzal Kutan: Gefecht"
"nexus_itzal_kutan_clash";"Itzal Kutan: Clash";"Ицаль Кутан: Схватка";"Itzal Kutan: Gefecht"
"nexus_itzal_kutan_assault";"Itzal Kutan: Assault";"Ицаль Кутан: Штурм";"Itzal Kutan: Angriff"
"nexus_itzal_kutan_domination";"Itzal Kutan: Domination";"Ицаль Кутан: Превосходство";"Itzal Kutan: Vorherrschaft"
"nexus_vanilla_mall";"Vanilla Mall";"ТЦ 'Ваниль'";"Einkaufszentrum ""Vanille"""
"nexus_vanilla_mall_rush";"Vanilla Mall: Clash";"ТЦ 'Ваниль': Схватка";"Vanilla Mall: Clash"
"nexus_vanilla_mall_clash";"Vanilla Mall: Clash";"ТЦ 'Ваниль': Схватка";"Vanilla Mall: Gefecht"
"nexus_vanilla_mall_assault";"Vanilla Mall: Assault";"ТЦ 'Ваниль': Штурм";"Vanilla Mall: Angriff"
"nexus_vanilla_mall_domination";"Vanilla Mall: Domination";"ТЦ 'Ваниль': Превосходство";"Vanilla Mall: Vorherrschaft"
"nexus_underground_depot_rush";"Underground Depot: Clash";"Подземное депо: Схватка";"Underground Depot: Clash"
"nexus_underground_depot_clash";"Underground Depot: Clash";"Подземное депо: Схватка";"Untergrunddepot: Gefecht"
"nexus_underground_depot_assault";"Underground Depot: Assault";"Подземное депо: Штурм";"Untergrunddepot: Angriff"
"nexus_underground_depot_domination";"Underground Depot: Domination";"Подземное депо: Превосходство";"Untergrunddepot: Vorherrschaft"
"nexus_new_swabia";"New Swabia";"Новая Швабия";"Neuschwabenland"
"nexus_labyrinth";"Labyrinth";"Лабиринт";"Labyrinth"
"nexus_test_site";"Nexus Test Site";"Отладочная площадка Нексуса";"Nexus-Testgelände"
"anyNexus";"Any nexus";"Любой нексус";"Any nexus"
"objectives/datacard_with_content/name";"Gather data on {contentKey}";"Соберите информацию об {contentKey}";"Daten zu {contentKey} sammeln"
"objectives/datacard_with_content/description";"Records required: {required}";"Записей необходимо: {required}";"Benötigte Aufzeichnungen: {required}"
"objectives/item_with_name/name";"Bring back {itemName}";"Принесите {itemName}""";"Bringe {itemName} zurück"
"objectives/item_with_name/description";"{value} / {required}";"{value} / {required}";"{value} / {required}"
"objectives/kill_with_tag/name";"Kill {killTrackingTag}";"Убейте {killTrackingTag}";"Töte {killTrackingTag}"
"objectives/kill_with_tag/description";"{value} / {required}";"{value} / {required}";"{value} / {required}"
"objectives/stay_alive/name";"Survive";"Выживи";"Überlebe"
"objectives/stay_alive/description";"Survive for {value}";"Выживи {value}";"Überlebe {value}"
"killTrackingTag/spider";"Spider";"Паук";"Spinne"
"killTrackingTag/flower_human";"Flower man";"Цветочный человек";"Blumenmann"
"killTrackingTag/skeleton_swarm";"Skeleton swarm";"Скелетный рой";"Skelettschwarm"
"killTrackingTag/militant";"Enemy operative";"Вражеский оперативник";"Feindlicher Agent"
"datacard/spider_killed";"Spider death cries";"Предсмертные звуки пауков";"Todesschreie der Spinne"
"action/highlight";"Scan enemies";"Отсканируйте игроков";"Feinde scannen"
"action/disable_attraction";"Disable noise emitter";"Отключите источник шума";"Geräuschemitter deaktivieren"
"action/enable_attraction";"Enable noise emitter";"Включите источник шума";"Geräuschemitter aktivieren"
"action/insert_datacard";"Insert datacard";"Вставьте карту памяти";"Datenträger einlegen"
"action/eject_datacard";"Eject datacard";"Достаньте карту памяти";"Datenträger auswerfen"
"action/resurrect_player_name";"Return back to raid {invoiceName}";"Верните в рейд {invoiceName}";"Kehre zum Raid {invoiceName} zurück"
"action/workbench_insert_battery";"Insert accumulator battery (Accumulator battery x1)";"Вставить аккумуляторную батарею (Аккумуляторная батарея х1)";"Akkumulatorbatterie einlegen (Akkumulatorbatterie x1)"
"action/workbench_open_repair_menu";"Repair an item (Workbench charges x1)";"Отремонтировать предмет (Заряды верстака х1)";"Ein Gegenstand reparieren (Werkbankladung x1)"
"action/craft_fuse_box";"Craft a Fuse box (Workbench charges x1, Fuse x5)";"Собрать Блок предохранителей (Заряды верстака х1, Предохранитель х5)";"Ein Sicherungskasten basteln (Werkbankladung x1, Sicherung x5)"
"action/craft_ammo_9mm";"Craft 9mm Ammo (Workbench charges x1, Broken Ammo x1)";"Собрать 9мм Патроны (Заряды верстака х1, Испорченные боеприпасы х1)";"9mm Munition herstellen (Werkbankladung x1, Defekte Munition x1)"
"action/craft_ammo_12_gauge";"Craft 12 Gauge Ammo (Workbench charges x1, Broken Ammo x1)";"Собрать 12 Gauge Патроны (Заряды верстака х1, Испорченные боеприпасы х1)";"12 Gauge Munition herstellen (Werkbankladung x1, Defekte Munition x1)"
"action/craft_ammo_7_62x39";"Craft 7.62x39mm Ammo (Workbench charges x1, Broken Ammo x1)";"Собрать 7.62x39мм Патроны (Заряды верстака х1, Испорченные боеприпасы х1)";"7.62x39mm Munition herstellen (Werkbankladung x1, Defekte Munition x1)"
"action/craft_ammo_5_56";"Craft 5.56mm Ammo (Workbench charges x1, Broken Ammo x1)";"Собрать 5.56мм Патроны (Заряды верстака х1, Испорченные боеприпасы х1)";"5.56mm Munition herstellen (Werkbankladung x1, Defekte Munition x1)"
"action/looting_bag_opening";"Opening... ";"Открытие... ";"Öffne..."
"action/looting_bag_process";"Looting... ";"Поиск... ";"Plündern..."
"action/backpack_equip";"Equip";"Экипировать";"Ausrüsten"
"action/backpack_open";"Open";"Открыть";"Öffnen"
"action/noAction";"No active actions";"Нет активных действий";"Keine aktiven Aktionen"
"action/interrupt";"Interrupt";"Прервать";"Unterbrechen"
"deploying/deploy";"to deploy";"для развертывания";"Zum Einsatz"
"deploying/cancel";"to cancel the deployment";"для отмены развертывания";"Den Einsatz abbrechen"
"deploying/deploy_action";"to deploy the turret";"для развертывания турели";"Die Geschützturm einsetzen"
"mainMenu/equippedWeapon";"Equipped Weapon";"Оружие в бой";"Ausgerüstete Waffe"
"mainMenu/equippedUnlocks";"Unlocked Tech";"Unlocked Tech";"Freigeschaltete Technologie"
"mainMenu/unlocks";"Tech";"Tech";"Technologie"
"marketMenu/balance";"Balance:";"У вас на счёте:";"Guthaben:"
"marketMenu/checkoutInfo";"Your balance: {balance}$";"Ваш баланс: {balance}$";"Dein Guthaben: {balance}$"
"marketMenu/locked";"LOCKED";"НЕ ДОСТУПНО";"GESPERRT"
"hint/base_incoming";"Base drop inbound";"Base drop inbound";"Basenabwurf naht"
"hint/base_activation";"Base activation";"Base activation";"Basenaktivierung"
"hint/base_in_transit";"Base is in transit, move to its location to protect it";"Base is in transit, move to its location to protect it";"Die Basis ist unterwegs, bewege dich zu ihrem Standort, um sie zu schützen"
"hint/base_working";"Protect base from the enemies";"Protect base from the enemies";"Schütze die Basis vor den Feinden"
"hint/base_activated";"Cleanup the rest of enemies and prepare for the next drop";"Cleanup the rest of enemies and prepare for the next drop";"Bereinige die restlichen Feinde und bereite dich auf den nächsten Abwurf vor"
"notification/turret";"You forgot to pick up the turret!";"Вы забыли поднять турель!";"Du hast vergessen, den Geschützturm aufzuheben!"
"hint/need_portal_activation";"Your teammates must scan your backup at a respawn station and open the portal for you.";"Ваши сокомандники должны отсканировать ваш бекап на станции и открыть вам портал";"Deine Teamkameraden müssen dein Backup an einer Respawn-Station scannen und das Portal für dich öffnen."
"hint/open_loadout_hud";"Open loadout";"Открыть инвентарь";"Ausrüstung öffnen"
"hint/respawn_portal_is_open";"The portal is open for you! Quick! You have an opportunity to respawn.";"Портал открыт для вас! Быстрее! Вы можете возродиться.";"Das Portal ist für dich geöffnet! Schnell! Du hast die Möglichkeit, dich neu zu spawnen."
"items/active_matter_pile";"{count} Active matter";"{count} Активной материи";"{count} Aktive Materie"
"items/active_matter_pile/pickup";"Hold to gather Active matter";"Удерживайте для сбора Активной материи";"Halten, um Aktive Materie zu sammeln"
"hint/hack_cortical_vault";"Hack the mindvault";"Взломать хранилище сознания";"Hacke das Mindvault"
"hint/you_hacked_cortical_vault";"The mindvault has been successfully hacked.";"Хранилище сознания успешно взломано.";"Das Mindvault wurde erfolgreich gehackt."
"hint/hacked_cortical_vault_detected";"The mindvault hack detected.
The violator is marked on the map!";"Обнаружен взлом хранилища сознания.
Нарушитель отмечен на карте!";"Der Mindvault-Hack wurde erkannt. Der Täter ist auf der Karte markiert!"
"hint/hacked_cortical_vault_map_mark";"Mindvault hack zone";"Зона взлома хранилища сознания";"Mindvault-Hack-Zone"
"hint/hacking_cortical_vault";"Hacking the mindvault";"Взлом: Хранилище сознания";"Hacke das Mindvault"
"hint/objective_am_for_kill_got";"Reward increased: +{count} AM
Total: {total} AM";"Вознаграждение увеличено: +{count} АМ
Всего: {total} АМ";"Belohnung erhöht: +{count} AM
Gesamt: {total} AM"
"hint/scan_points_of_interest_map_mark_unknown";"Unknown";"Неизвестно";"Unbekannt"
"hint/scan_points_of_interest_map_mark_loot";"Unknown item";"Неизвестный предмет";"Unbekannter Gegenstand"
"hint/scan_points_of_interest_map_mark_objective_loot";"Item for the contract";"Предмет для контракта";"Vertragsgegenstand"
"hint/scan_points_of_interest_map_mark_enemy";"Unknown enemy";" Неизвестный противник";"Unbekannter Feind"
"hint/scan_points_of_interest_map_mark_objective_enemy";"Target for the contract";"Цель для контракта";"Vertragsziel"
"hint/status_tip_scan_points_of_interest_found";"Total targets detected: {0}";"Обнаружено целей: {0}";"Gesamtanzahl erkannter Ziele: {0}"
"hint/status_tip_scan_points_of_interest_not_found";"No targets detected";"Не удалось обнаружить ни одной цели";"Keine Ziele erkannt"
"hint/status_tip_scan_points_of_interest_cooldown";"Datalink on cooldown";"Доступ до данных перезаряжается";"Scanner lädt auf"
"hint/request_for_scan";"Request for reconnaissance data";"Запросить разведовательную информацию";"Request for reconnaissance data"
"effects/scan_points_of_interest_cooldown";"Datalink on cooldown: {duration} s";"Доступ до данных перезаряжается: {duration} с";"Scanner lädt auf: {duration} s"
"hint/movingZoneStarted";"Zone stability compromized, the process of collapse has begun.";"Стабильность зоны нарушена, начался процесс схлопывания";"Zonenstabilität gefährdet, der Zusammenbruch hat begonnen."
"hint/no_am_for_resurrect";"You need {required} Active Matter to revive your teammate. You only have {available}.";"Необходимо {required} Активной Материи, чтобы вернуть вашего сокомандника. У вас есть лишь {available}";"Du benötigst {required} Aktive Materie, um deinen Teamkameraden wiederzubeleben. Du hast nur {available}."
"hint/extractionDeviceDropPrepare";"After {_requiresTime/time} extraction portals will change their location";"Через {_requiresTime/time} порталы экстракции поменяют свое местоположение";"Nach {_requiresTime/time} werden die Extraktionsportale ihren Standort ändern"
"hint/extractionDeviceDropStart";"Extraction portals have changed their location";"Порталы экстракции поменяли свое местоположение";"Die Extraktionsportale haben ihren Standort geändert"
"hint/firstExtractionDeviceDropPrepare";"Extraction portals will appear in {_requiresTime/time}";"Порталы экстракции появятся через {_requiresTime/time}";"Extraktionsportale erscheinen in {_requiresTime/time}"
"hint/firstExtractionDeviceDropStart";"Extraction portals have arrived";"Появились порталы экстракции";"Die Extraktionsportale sind angekommen"
"hint/extractionDeviceUsed";"The use of an extraction device accelerated the compression of the protective dome.";"Использование устройства экстракции ускорило сжатие защитного купола.";"Der Einsatz eines Extraktionsgeräts beschleunigte die Kompression der Schutzkuppel."
"hint/extractionMinimapMarker";"Extraction";"Экстракция";"Evakuierung"
"hint/extractionMinimapMarkerInactive";"Extraction: inactive";"Экстракция: неактивна";"Evakuierung: inaktiv"
"hint/extractionMinimapMarkerBlockedByContracts";"Extraction: blocked by mandatory contracts";"Экстракция: заблокирована обязательными контрактами";"Evakuierung: durch verpflichtende Verträge blockiert"
"hint/extractionTimer";"Extraction portal will become unavailable once the timer expires";"Портал экстракции станет недоступным по истечении таймера";"Evakuierungsportal wird nach Ablauf des Timers nicht mehr verfügbar sein"
"hint/spawnPointMinimapMarker";"Landing zone";"Зона высадки";"Landezone"
"hint/spawnPolygoneMinimapMarker";"Landing zone";"Зона высадки";"Landezone"
"hint/corticalVaultMinimapMarker";"Mindvault of an ally";"Хранилище сознания союзника";"Mindvault eines Verbündeten"
"hint/nexusReviveMachineMarker";"Stationary revive device";"Стационарное устройство возрождения";"Stationäres Wiederbelebungsgerät"
"hint/secretLootableMinimapMarker";"Secret stash";"Клад";"Geheimer Vorrat"
"hint/landingAvailableOnlyInMarkedZones";"The landing is possible only in marked areas.";"Высадка возможна только в отмеченных зонах.";"Die Landung ist nur in markierten Bereichen möglich."
"hint/landingNotAvailableInForbiddenZones";"The landing in this area is not possible.";"Высадка в этой зоне невозможна.";"Die Landung in diesem Bereich ist nicht möglich."
"hint/teamsLeft";"It is not possible to open an emergency extraction portal. {count} command signatures create noise in the operation zone.";"Невозможно открыть экстренный портал экстракции. В зоне операции создают шум {count} сигнатур команд.";"Es ist nicht möglich, ein Notfall-Extraktionsportal zu öffnen. {count} Befehlssignaturen erzeugen Geräusche in der Einsatzzone."
"marketMenu/gunInfo/rifle";"Damage: {damage} Shots per second: {shots} Damage per second {dps}";"Урон: {damage} Выстрелов за секунду: {shots} Урона за секунду {dps}";"Schaden: {damage} Schüsse pro Sekunde: {shots} Schaden pro Sekunde {dps}"
"marketMenu/gunInfo/shotgun";"Damage: {damage}x{pellets} Shots per second: {shots} Damage per second {dps}";"Урон: {damage}x{pellets} Выстрелов за секунду: {shots} Урана за секунду {dps}";"Schaden: {damage}x{pellets} Schüsse pro Sekunde: {shots} Schaden pro Sekunde {dps}"
"marketMenu/gunInfo/grenade";"Damage: {damage} (epicenter of the explosion) Shots per second: {shots} Damage per second {dps}";"Урона: {damage} (в эпицентре взрыва) Выстрелов за секунду: {shots} Урана за секунду {dps}";"Schaden: {damage} (Epizentrum der Explosion) Schüsse pro Sekunde: {shots} Schaden pro Sekunde {dps}"
"tips/open_resurrect_menu";"Select whom to resurrect";"Выберите кого воскрешать";"Wähle, wen du wiederbeleben möchtest"
"tips/useGrenade";"Use grenade";"Использовать гранату";"Granate werfen"
"tips/downed/grenade_throwed";"You have thrown grenate";"Вы кинули гранату";"Du hast eine Granate geworfen"
"tips/parachute_steer";"Use to set direction";"Используйте, чтобы задавать направление";"Verwenden, um Richtung festzulegen"
"tips/enterVehicle";"Enter vehicle";"Сесть в транспорт";"Fahrzeug betreten"
"tips/getDrone";"Get a drone";"Взять дрон";"Drohne holen"
"extraction/extraction_to_base";"Activate extraction to the base";"Активировать экстракцию на базу";"Evakuierung zur Basis aktivieren"
"extraction/wrongTimeToUse";"The time to activate the extractor has not yet come";"Время активации экстрактора еще не пришло";"Die Zeit zur Aktivierung des Extraktors ist noch nicht gekommen"
"extraction/extractionForOtherTeam";"The extraction portal is configured for other operatives";"Портал экстракции настроен на других оперативников";"Das Evakuierungsportal ist für andere Operatoren konfiguriert"
"extraction/primaryContractNotComplete";"Required objectives must be completed";"Основные задачи должны быть выполнены";"Erforderliche Ziele müssen abgeschlossen werden"
"extraction/lack_of_am";"You need {required} Active Matter to activate extraction portal";"Вас нужно {required} Активной материи, чтобы активировать портал экстракции";"Du benötigst {required} Aktive Materie, um das Evakuierungsportal zu aktivieren"
"extraction/paid";"{paid} Active Matter paid to activate extraction portal";"{paid} Активной материи оплачено, чтобы активировать портал экстракции";"{paid} Aktive Materie für die Aktivierung des Evakuierungsportals bezahlt"
"hud/paid_extraction";"Extraction portal (25 Active Matter)";"Портал экстракции (25 Активной материи)";"Extraktionsportal (25 Aktive Materie)"
"tip/extraction_portals_next_switch_at";"Portals will change location after {time}";"Порталы поменяют местоположение через {time}";"Portale ändern nach {time} ihren Standort"
"tip/extraction_portals_appear_at";"Portals will appear after {time}";"Порталы появятся через {time}";"Portale erscheinen nach {time}"
"tip/open_note";"open";"открыть";"Öffnen"
"hint/interactableUsedCancelledNoObjective";"You don't have a quest to use this";"У вас нет задания чтобы использовать это";"Du hast keine Quest, um dies zu verwenden"
"hint/interactableUsedCancelledNoItem";"You don't have a special item to use it";"У вас нет специального предмета чтобы использовать это";"Du hast keinen speziellen Gegenstand, um dies zu verwenden"
"default_text_on_level_loaded";"Welcome!";"Добро пожаловать!";"Willkommen!"
"text_on_player_base_loaded";"Welcome to the base, commander!";"Добро пожаловать на базу, командир!";"Willkommen auf der Basis, Kommandant!"
"amStatus";"Active Matter Storage: {cur} out of {max}";"Хранилище Активной Материи: {cur} из {max}";"Aktive Materie Lagerung: {cur} von {max}"
"body_part/head/desc";"If the head's health drops to zero, instant death will occur.";"Если здоровье головы упадет до нуля, наступит мгновенная смерть.";"Wenn die Gesundheit des Kopfes auf null sinkt, tritt sofortiger Tod ein."
"body_part/right_hand/desc";"If the health of one of the hands drops to zero:
- Climbing deals damage
- Increased recoil
- Trembling of the hands

If the health of both hands drops to zero, it will impossible to aim
";"Если здоровье одной из руки упадет до нуля:
- Карабканье наносит урон
- Увеличенная отдача
- Дрожание рук

Если повреждены обе руки, станет невозможно прицеливаться";"Wenn die Gesundheit einer der Hände auf null sinkt:
- Klettern verursacht Schaden
- Erhöhter Rückstoß
- Zittern der Hände

Wenn die Gesundheit beider Hände auf null sinkt, wird das Zielen unmöglich."
"body_part/left_hand/desc";"If the health of one of the hands drops to zero:
- Climbing deals damage
- Increased recoil
- Trembling of the hands

If the health of both hands drops to zero, it will impossible to aim
";"Если здоровье одной из руки упадет до нуля:
- Карабканье наносит урон
- Увеличенная отдача
- Дрожание рук

Если повреждены обе руки, станет невозможно прицеливаться";"Wenn die Gesundheit einer der Hände auf null sinkt:

- Klettern verursacht Schaden
- Erhöhter Rückstoß
- Zittern der Hände

Wenn die Gesundheit beider Hände auf null sinkt, wird das Zielen unmöglich."
"body_part/right_leg/desc";"If the health of one of the legs drops to zero:
- Can't jump
- Sprinting deals damage
- Climbing deals damage
- Lameness

If the health of both legs drops to zero, then the movement speed will be reduced by 50%
";"Если здоровье одной из ноги упадет до нуля:
- Невозможно прыгать
- Бег наносит урон
- Карабканье наносит урон
- Хромота

Если повреждены обе ноги, то скорость передвижения будет снижена на 50%";"Wenn die Gesundheit eines der Beine auf null sinkt:

- Kein Springen möglich
- Sprinten verursacht Schaden
- Klettern verursacht Schaden
- Lahmheit

Wenn die Gesundheit beider Beine auf null sinkt, wird die Bewegungsgeschwindigkeit um 50% reduziert."
"body_part/left_leg/desc";"If the health of one of the legs drops to zero:
- Can't jump
- Sprinting deals damage
- Climbing deals damage
- Lameness

If the health of both legs drops to zero, then the movement speed will be reduced by 50%
";"Если здоровье одной из ноги упадет до нуля:
- Невозможно прыгать
- Бег наносит урон
- Карабканье наносит урон
- Хромота

Если повреждены обе ноги, то скорость передвижения будет снижена на 50%";"Wenn die Gesundheit eines der Beine auf null sinkt:

- Kein Springen möglich
- Sprinten verursacht Schaden
- Klettern verursacht Schaden
- Lahmheit

Wenn die Gesundheit beider Beine auf null sinkt, wird die Bewegungsgeschwindigkeit um 50% reduziert."
"body_part/body/desc";"If the health of the body drops to zero:
- Decreased stamina while running by 75%
- Imposible hold breath
";"Если здоровье тела упадет до нуля:
- Уменьшение выносливости во время бега на 75%
- Невозможно задержать дыхание";"Wenn die Gesundheit des Körpers auf null sinkt:

- Ausdauer beim Laufen um 75% reduziert
- Atem anhalten unmöglich"
"hint/attach_to_ladder";"Press to attach to ladder";"Нажмите, чтобы воспользоваться лестницей";"Drücken, um an die Leiter zu hängen"
"hint/detach_to_ladder";"Press to detach from ladder";"Нажмите, чтобы отпустить лестницу";"Drücken, um sich von der Leiter zu lösen"
"hint/cut_the_fence";"Cut the fence";"Перерезать";"Zaun schneiden"
"hint/select_melee_to_cut_the_fence";"Take a melee weapon to cut";"Выберите холодное оружие чтобы перерезать";"Nehme eine Nahkampfwaffe zum Schneiden"
"hint/cannot_cut_the_fence";"This panel can't be cut";"Эту секцию нельзя перерезать";"Dieses Paneel kann nicht geschnitten werden"
"hint/use_flashlight";"Turn on the flashlight";"Включить фонарик";"Taschenlampe einschalten"
"hint/use_bipod";"Put weapon on the bipod";"Поставить оружие на сошки";"Put weapon on the bipod"
"hint/scan_points_of_interest";"Scan points of interest around";"Просканировать точки интереса вокруг";"Scan points of interest around"
"hint/unjam_weapon";"Unjam weapon";"Расклинить оружие";"Waffe entklemmen"
"hint/use_photocamera";"Take a photo";"Сделать снимок";"Foto machen"
"hint/stop_watching_binoculars";"Exit observation mode";"Выйти из режима наблюдения";"Beobachtungsmodus beenden"
"hint/obscured_photo_target";"The target is obscured";"Цель не видна";"Das Ziel ist verdeckt"
"hint/find_better_angle";"The target is not visible through the camera lens. Find a better angle.";"Цель не видна в объективе камеры. Найдите лучший ракурс.";"The target is not visible through the camera lens. Find a better angle."
"hint/on_spawn_with_dash_ability";"Dash forward for {ability_am_cost} AM";"Переместиться вперёд за {ability_am_cost} АМ";"Vorwärts sprinten für {ability_am_cost} AM"
"hint/on_spawn_with_free_dash_ability";"Dash forward";"Переместиться вперёд";"Vorwärts sprinten"
"hint/dash_ability_not_enough_am";"Not enough active matter: {am} / {ability_am_cost}";"Недостаточно активной материи {am} / {ability_am_cost}";"Nicht genug aktive Materie: {am} / {ability_am_cost}"
"hint/dash_ability_jump_to_dash";"Dash forward";"Переместиться вперёд";"Vorwärts stürmen"
"hint/mothman_diving_grab_ability";"Grab enemy";"Схватить врага";"Gegner packen"
"hint/mothman_diving_grab_ability_release";"Hold to release";"Зажмите, чтобы освободиться";"Halten zum Loslassen"
"dash/name";"Activate dash";"Cовершить рывок";"Sprint aktivieren"
"dash/active";"Available dashes";"Доступные рывки";"Verfügbare Sprints"
"dash/desc";"A series of 3 teleportations, allowing you to instantly move closer to your opponent or avoid an attack. Сooldown: {cooldown} s.";"Серия из 3 телепортаций, позволяющая мгновенно приблизиться к противнику или избежать атаки. Перезарядка: {cooldown} с.";"Eine Serie von 3 Teleportationen, die es dir ermöglichen, sofort näher an deinen Gegner heranzukommen oder einem Angriff auszuweichen. Abklingzeit: {cooldown} s."
"scream/name";"Summon distorted";"Призвать искажённого";"Verzerrte beschwören"
"scream/desc";"Temporarily subdues the distorted around you, making them your protectors. Сooldown: {cooldown} s.";"На время подчиняет находящихся вокруг искажённых, делая их вашими защитниками. Перезарядка: {cooldown} с.";"Betäubt vorübergehend die Verzerrten um dich herum und macht sie zu deinen Beschützern. Abklingzeit: {cooldown} s."
"echolocation/name";"Start echolocation";"Начать эхолокацию";"Echolokation starten"
"echolocation/desc";"A loud scream capable of indicating the location of victims through reflected sound waves. Shows enemies even behind obstacles. Сooldown: {cooldown} s.";"Громкий крик, способный указать расположение жертв с помощью отражённых звуковых волн. Показывает врагов даже за препятствиями. Перезарядка: {cooldown} с.";"Ein lauter Schrei, der durch reflektierte Schallwellen den Standort von Opfern anzeigt. Zeigt Feinde sogar hinter Hindernissen. Abklingzeit: {cooldown} s."
"mothman_sprint/desc";"Accelerates your flight. The acceleration lasts as long as the ability button is held down.";"Ускоряет ваш полёт. Ускорение действует пока зажата кнопка использования.";"Beschleunigt deinen Flug. Die Beschleunigung hält an, solange die Fähigkeitstaste gedrückt wird."
